City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kavieng,PG,83.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
4,Kuala Sungai Baru,MY,78.82,light rain,2.3594,102.0353,Homestay Villa Suraiya Kuala Sungai Baru Melaka
5,Rikitea,PF,77.77,few clouds,-23.1203,-134.9692,People ThankYou
6,Maun,BW,85.59,broken clouds,-19.9833,23.4167,Enviro Villa
8,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
10,Salalah,OM,87.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
11,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
14,Vaini,TO,81.18,overcast clouds,-21.2,-175.2,Keleti Beach Resort
18,Cape Town,ZA,81.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
23,Tarrafal,CV,77.79,few clouds,15.2833,-23.7667,Hotel Ixola
26,Bolobo,CD,88.2,overcast clouds,-2.1667,16.2333,Hotel de Stephen
32,Daru,PG,76.87,overcast clouds,-9.0763,143.2092,Daru Lodge
39,Atuona,PF,78.93,broken clouds,-9.8,-139.0333,Villa Enata
41,Carnarvon,AU,78.49,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
42,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Banda Aceh,ID,83.93,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
51,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
52,Alice Town,BS,77.32,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
54,Sorong,ID,82.15,light rain,-0.8833,131.25,Waigo Splash Hotel
55,Vanimo,PG,79.65,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
59,Faanui,PF,80.55,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
65,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
75,Larap,PH,76.8,few clouds,14.299,122.6504,Montemayor Cove
86,Bengkulu,ID,78.98,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
93,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
94,Touros,BR,82.22,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
96,Belmonte,BR,78.33,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
97,Denpasar,ID,83.86,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
100,Lumphat,KH,86.56,broken clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
103,Matay,EG,89.6,overcast clouds,28.419,30.7792,Nag Aespen
116,Komsomolskiy,UZ,84.92,overcast clouds,40.4272,71.7189,Ikathouse
119,Harlingen,US,76.05,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
124,Vao,NC,76.91,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
126,Mto Wa Mbu,TZ,81.52,overcast clouds,-3.35,35.85,Fanaka Safaris Campsite & Lodges
133,Bambous Virieux,MU,82.22,moderate rain,-20.3428,57.7575,Casa Tia Villa
136,Eregli,TR,77.25,few clouds,37.5133,34.0467,Hotel Fuat Bey
143,Umm Lajj,SA,88.54,few clouds,25.0213,37.2685,Moon light Furnished Units
146,Mitsamiouli,KM,84.22,clear sky,-11.3847,43.2844,Foyer ADM
151,Dharchula,IN,89.28,clear sky,29.85,80.5333,Mahara Hotel
153,Kavaratti,IN,85.08,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
156,Intipuca,SV,79.16,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
160,Ambilobe,MG,86.13,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
165,Sinjar,IQ,80.33,overcast clouds,36.3209,41.8754,زوماني فون 1
170,Saint-Philippe,RE,85.12,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
172,Itamaraca,BR,84.25,overcast clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
174,Saint-Joseph,RE,84.11,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
175,Butaritari,KI,81.48,clear sky,3.0707,172.7902,Isles Sunset Lodge
176,Isangel,VU,78.46,light rain,-19.55,169.2667,Tanna Lodge
177,Kampot,KH,75.25,light rain,10.6167,104.1833,Two Moons Hotel
178,Yeroham,IL,84.83,overcast clouds,30.9872,34.9314,Desert Iris
179,Honiara,SB,77.76,moderate rain,-9.4333,159.95,Heritage Park Hotel
186,Kongolo,CD,88.61,clear sky,-5.3833,27.0,GUEST HOUSE OASIS
190,Port Moresby,PG,78.96,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
191,Faya,SA,79.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
192,Gat,IL,84.88,overcast clouds,31.61,34.7642,OlusHome
196,Kupang,ID,80.46,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
198,Tiarei,PF,77.02,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
200,Meulaboh,ID,79.81,moderate rain,4.1363,96.1285,Kost Pria
201,Hithadhoo,MV,84.09,scattered clouds,-0.6,73.0833,Scoop Guest House
204,Asmara,ER,75.24,clear sky,15.3333,38.9333,Hamasien Hotel
206,Kalmunai,LK,85.41,overcast clouds,7.4167,81.8167,VS Villa
208,Boundiali,CI,85.6,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
216,Zhanakorgan,KZ,80.08,overcast clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
217,Axim,GH,84.9,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
219,Puerto Carreno,CO,75.54,light rain,6.189,-67.4859,Casa Hotel Victoria
224,Hoi An,VN,78.76,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
232,Soyo,AO,83.26,light rain,-6.1349,12.3689,Hotel Mpampa
234,Kokopo,PG,79.3,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
240,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
249,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
250,Mumford,GH,80.19,moderate rain,5.2618,-0.759,Spanish Villa
256,Lorengau,PG,82.78,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
266,Sinnamary,GF,77.95,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
274,Saint-Pierre,RE,85.19,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
278,Kathu,TH,80.42,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
280,Cockburn Town,TC,77.7,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
287,Lamu,KE,84.0,light rain,-2.2717,40.902,Lamu House
291,North Vanlaiphai,IN,75.96,broken clouds,23.1333,93.0667,VL Lungmuana In
294,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
295,Atambua,ID,75.85,broken clouds,-9.1061,124.8925,Kost Alfa Flat
304,Pimenteiras,BR,75.6,broken clouds,-6.2453,-41.4192,Hotel rotativo pimentas
312,Sao Benedito Do Rio Preto,BR,77.63,overcast clouds,-3.3336,-43.5283,João de Barro Hotel
313,Sur,OM,88.12,clear sky,22.5667,59.5289,Sur Plaza Hotel
325,Zharkent,KZ,84.42,few clouds,44.1628,80.0,гостиница Satti
331,Morondava,MG,85.48,clear sky,-20.2833,44.2833,La Case Bambou
334,Bandarbeyla,SO,88.29,clear sky,9.4942,50.8122,JABIR HOTEL
342,Springbok,ZA,80.76,clear sky,-29.6643,17.8865,Undulata Country Lodge
343,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
350,Katherine,AU,86.32,scattered clouds,-14.4667,132.2667,Pine Tree Motel
355,Itarema,BR,78.73,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
356,Carutapera,BR,77.45,overcast clouds,-1.195,-46.02,Lidera
357,Upington,ZA,78.08,few clouds,-28.4478,21.2561,River Place Manor
362,Hit,IQ,89.1,broken clouds,33.6416,42.8251,بيت ابو رباح
363,Anloga,GH,78.1,moderate rain,5.7947,0.8973,Pin Drop Hotel
366,Sao Raimundo Das Mangabeiras,BR,76.15,overcast clouds,-7.0219,-45.4811,Hotel Tropical
371,Puertollano,ES,76.15,scattered clouds,38.6871,-4.1073,Hotel Puertollano
373,Miramar,US,78.03,clear sky,25.9873,-80.2323,Stadium Hotel
375,Safaga,EG,85.55,broken clouds,26.7292,33.9365,Lamar Resort Abu Soma
376,Luang Prabang,LA,77.59,broken clouds,19.8856,102.1347,The Apsara
379,Tura,IN,87.22,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
380,Matara,LK,85.69,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
381,Chiang Rai,TH,88.3,few clouds,19.9167,99.9167,Imsuk Homestay at Chiang Rai
384,Kismayo,SO,87.78,overcast clouds,-0.3582,42.5454,Agan-Hotel
385,Curuca,BR,76.42,overcast clouds,-0.7289,-47.8481,Hotel Curuça
388,Namibe,AO,84.54,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
389,Atasu,KZ,76.66,overcast clouds,48.6814,71.6433,Dostyk
395,Katobu,ID,77.25,overcast clouds,-4.9408,122.5276,La Ode Husein
405,Kerema,PG,79.65,scattered clouds,-7.9631,145.7785,Frena Lodge
406,Santa Rosa,PH,86.11,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
409,The Valley,AI,78.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
420,Champerico,GT,80.76,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
423,Grand Gaube,MU,82.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
441,Kropotkin,RU,77.67,broken clouds,45.4375,40.5756,Hotel Europe Kropotkin
443,Kamina,CD,81.01,clear sky,-8.7386,24.9906,Guest House Florvia
457,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Beach Rotana
458,Kununurra,AU,85.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
469,Buala,SB,80.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
470,Puerto Escondido,MX,76.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
472,Ambanja,MG,83.82,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
476,Mutare,ZW,75.07,broken clouds,-18.9707,32.6709,Ann Bruce Backpackers
477,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
480,Kosonsoy,UZ,77.56,broken clouds,41.2561,71.5508,"Гостиница ""Goldstar'"
481,Kirakira,SB,80.1,overcast clouds,-10.4544,161.9205,SanBiz Lodge
501,Gizo,SB,82.62,light rain,-8.103,156.8419,Imagination Island
504,Zwedru,LR,84.2,light rain,6.0667,-8.1281,Elijah Worjloh
505,Luganville,VU,80.4,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
509,Karratha,AU,86.97,broken clouds,-20.7377,116.8463,ibis Styles Karratha
