City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kavieng,PG,-2.5744,150.7967,83.07,73,96,14.25,overcast clouds
1,Longyearbyen,SJ,78.2186,15.6401,22.84,74,20,4.61,few clouds
2,Goderich,CA,43.7501,-81.7165,30.9,68,82,13.33,broken clouds
3,Mar Del Plata,AR,-38.0023,-57.5575,59.88,93,75,8.01,fog
4,Kuala Sungai Baru,MY,2.3594,102.0353,78.82,88,100,10.47,light rain
5,Rikitea,PF,-23.1203,-134.9692,77.77,67,18,11.63,few clouds
6,Maun,BW,-19.9833,23.4167,85.59,36,84,7.2,broken clouds
7,Port Hardy,CA,50.6996,-127.4199,41.61,90,100,25.21,light rain
8,Noumea,NC,-22.2763,166.4572,79.0,99,100,1.81,overcast clouds
9,Yuanping,CN,38.7153,112.7575,60.15,28,32,5.41,scattered clouds
10,Salalah,OM,17.0151,54.0924,87.89,70,20,13.8,few clouds
11,San Patricio,US,28.017,-97.5169,77.09,97,4,7.09,clear sky
12,Sterling,US,39.0062,-77.4286,43.9,63,75,5.01,broken clouds
13,Tessalit,ML,20.1986,1.0114,84.61,12,2,9.69,clear sky
14,Vaini,TO,-21.2,-175.2,81.18,79,90,14.12,overcast clouds
15,Sovetskiy,RU,61.3614,63.5842,42.03,61,94,9.46,overcast clouds
16,Pevek,RU,69.7008,170.3133,1.26,100,100,0.85,overcast clouds
17,Merauke,ID,-8.4667,140.3333,81.21,79,100,4.99,overcast clouds
18,Cape Town,ZA,-33.9258,18.4232,81.12,61,0,11.5,clear sky
19,Kaifeng,CN,34.7911,114.3483,59.81,47,74,4.74,broken clouds
20,Cherskiy,RU,68.75,161.3,12.07,96,100,2.8,light snow
21,Hobart,AU,-42.8794,147.3294,56.01,73,100,3.44,overcast clouds
22,Bethel,US,41.3712,-73.414,38.16,80,9,3.09,clear sky
23,Tarrafal,CV,15.2833,-23.7667,77.79,78,12,11.97,few clouds
24,Torbay,CA,47.6666,-52.7314,37.76,90,75,14.97,light rain
25,Shimoda,JP,34.6667,138.95,57.11,95,100,3.58,moderate rain
26,Bolobo,CD,-2.1667,16.2333,88.2,55,93,3.4,overcast clouds
27,Barrow,US,71.2906,-156.7887,-5.44,93,8,7.05,clear sky
28,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,3.44,overcast clouds
29,Fortuna,US,40.5982,-124.1573,48.97,67,0,14.97,clear sky
30,Saskylakh,RU,71.9167,114.0833,21.45,94,100,18.07,light snow
31,Muros,ES,42.7762,-9.0603,56.84,72,75,14.79,broken clouds
32,Daru,PG,-9.0763,143.2092,76.87,91,99,2.71,overcast clouds
