City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-04-18 04:15:16,-9.8,-139.0333,79.45,80,14,17.9
1,Dingle,PH,2022-04-18 04:18:38,10.9995,122.6711,86.65,62,46,13.47
2,Cape Town,ZA,2022-04-18 04:14:33,-33.9258,18.4232,59.92,83,92,11.99
3,Rikitea,PF,2022-04-18 04:18:38,-23.1203,-134.9692,78.46,63,3,8.7
4,Yarkovo,RU,2022-04-18 04:18:39,57.4028,67.0786,39.33,61,62,2.8
5,Tasiilaq,GL,2022-04-18 04:18:39,65.6145,-37.6368,31.64,95,100,8.03
6,Mataura,NZ,2022-04-18 04:18:39,-46.1927,168.8643,62.47,54,42,2.19
7,Butaritari,KI,2022-04-18 04:18:40,3.0707,172.7902,81.75,72,23,11.81
8,Umm Lajj,SA,2022-04-18 04:18:40,25.0213,37.2685,85.3,20,56,8.05
9,Mirnyy,RU,2022-04-18 04:18:40,62.5353,113.9611,35.24,59,94,18.01
10,Albany,US,2022-04-18 04:15:34,42.6001,-73.9662,37.63,62,4,5.77
11,Fortuna,US,2022-04-18 04:16:40,40.5982,-124.1573,47.66,79,0,0.0
12,Iaciara,BR,2022-04-18 04:18:41,-14.0958,-46.6317,72.86,76,98,4.88
13,Kedrovyy,RU,2022-04-18 04:18:41,56.1667,91.8167,48.61,81,100,9.1
14,Kasongo-Lunda,CD,2022-04-18 04:18:41,-6.4667,16.8167,69.46,99,96,1.72
15,Tabuk,PH,2022-04-18 04:18:42,17.4189,121.4443,87.24,55,80,3.38
16,Santa Rosa,PH,2022-04-18 04:14:04,14.3122,121.1114,90.1,60,68,14.18
17,Ushuaia,AR,2022-04-18 04:18:42,-54.8,-68.3,44.26,81,20,14.97
18,Chokurdakh,RU,2022-04-18 04:18:42,70.6333,147.9167,15.51,88,47,4.85
19,Pevek,RU,2022-04-18 04:18:43,69.7008,170.3133,13.15,85,42,3.58
20,Troitskoye,RU,2022-04-18 04:18:43,52.9821,84.6757,58.15,60,93,2.04
21,Lorengau,PG,2022-04-18 04:18:43,-2.0226,147.2712,84.31,75,66,6.62
22,Dikson,RU,2022-04-18 04:18:44,73.5069,80.5464,6.17,92,100,3.33
23,Jamestown,US,2022-04-18 04:18:07,42.097,-79.2353,33.03,58,0,5.75
24,Matay,EG,2022-04-18 04:18:44,28.419,30.7792,74.57,25,100,12.1
25,Ulaangom,MN,2022-04-18 04:18:44,49.9811,92.0667,55.45,20,98,1.68
26,Port Lincoln,AU,2022-04-18 04:18:45,-34.7333,135.8667,62.15,65,99,8.25
27,Qaanaaq,GL,2022-04-18 04:15:16,77.484,-69.3632,-21.33,68,0,7.09
28,Carnarvon,AU,2022-04-18 04:18:45,-24.8667,113.6333,77.07,61,91,11.5
29,Cabo San Lucas,MX,2022-04-18 04:16:33,22.8909,-109.9124,76.51,64,98,5.99
30,Hobart,AU,2022-04-18 04:18:45,-42.8794,147.3294,60.26,68,75,16.11
31,Nikolskoye,RU,2022-04-18 04:18:46,59.7035,30.7861,39.87,73,99,2.93
32,Cherskiy,RU,2022-04-18 04:18:46,68.75,161.3,17.11,87,100,4.76
33,Road Town,VG,2022-04-18 04:18:46,18.4167,-64.6167,78.89,78,100,23.51
34,Karpogory,RU,2022-04-18 04:18:46,64.0019,44.4451,32.72,99,100,3.89
35,Cruzeiro Do Sul,BR,2022-04-18 04:18:47,-29.5128,-51.9853,62.51,91,54,0.36
36,Loum,CM,2022-04-18 04:18:47,4.7182,9.7351,73.49,97,100,1.61
37,Georgetown,MY,2022-04-18 04:18:47,5.4112,100.3354,91.33,69,20,3.44
38,Puerto Ayora,EC,2022-04-18 04:18:48,-0.7393,-90.3518,74.55,94,100,6.42
39,Ust-Barguzin,RU,2022-04-18 04:18:48,53.45,108.9833,45.7,71,81,6.78
